tag,target_lang,EF_BLEU_SCORE,EF_CHRF_SCORE,EF_CTER_SCORE,EF_EM_SCORE,FE_BLEU_SCORE,FE_CHRF_SCORE,FE_CTER_SCORE,FE_EM_SCORE,BLEU_SCORE,CHRF_SCORE,CTER_SCORE,EM_SCORE,Contamination
0030,guaraní,0,66.56,66.55,0,47.35,74.33,77.7,0,26.31,70.88,72.74,0, yes
1224,fula,0,9.35,14.7,0,9.13,27.85,24.11,0,4.15,17.76,18.98,0, yes
2561,ndebele,44.61,93.51,93.18,0,52.83,75.25,82.33,0,48.72,84.38,87.76,0, yes
3218,cupeño,0,17.81,0,0,0,40.59,20,0,0,29.2,10,0, no
4920,choctaw,18.16,76.96,70.28,0,0,17.71,12.49,0,9.08,47.33,41.38,0, yes
5335,miwoc,17.68,90.75,85.09,25,54.92,72.32,82.16,25,36.3,81.54,83.63,25, no
8407,kiswahili,35.36,89.38,87.31,50,,,,,35.36,89.38,87.31,50, yes 
8530,old,78.86,92.38,89.42,50,87.75,94.68,96.97,66.67,82.67,93.36,92.66,57.14, yes
9082,warlpiri,55.49,87.82,81.81,20,54.29,66.77,54.88,0,54.89,77.29,68.35,10, no
9969,latvian,0,26.31,18.66,0,,,,,0,26.31,18.66,0, yes
9981,kunuz,0,0,0,0,55.99,77.22,72.44,20,27.99,38.61,36.22,10, no
46e7,wembawemba,8.84,52.91,41.71,12.5,,,,,8.84,52.91,41.71,12.5, no
2e58,benabena,0,52.88,59.38,0,41.26,69.18,65.79,20,22.92,61.94,62.94,11.11, no
0d9d,kurmanji,,,,,100,100,100,100,100,100,100,100, no
118e,ilokano,16.67,57.52,66.21,0,42.82,64.76,50.37,0,29.74,61.14,58.29,0, no 
147f,irish,58.33,81.16,82.71,16.67,100,100,100,100,77.27,89.72,90.57,54.55, yes
198f,nepali,68.53,93.92,94.84,30,,,,,68.53,93.92,94.84,30, yes
1ba3,kabardian,11.79,60.35,67.43,16.67,53.07,74.21,68.33,36.36,38.5,69.32,68.02,29.41, no
1cc3,tok,19.07,63.67,38.89,0,10.91,44.74,29.41,0,14.99,54.2,34.15,0, yes
1e8f,chamalal,0,0,0,0,0,5.64,4.17,0,0,2.42,1.79,0, no
2ca9,pali,48.47,64.93,65.39,33.33,13.22,48,26.21,0,39.66,60.69,55.6,25, yes
35ab,central,17.68,91.52,92.45,25,,,,,17.68,91.52,92.45,25, no
35c2,swahili,47.14,90.66,92.59,66.67,,,,,47.14,90.66,92.59,66.67, yes
376d,polish,75,98.68,97.73,75,,,,,75,98.68,97.73,75, yes
3ab7,welsh,37.75,72.21,75.9,0,,,,,37.75,72.21,75.9,0, yes
3def,danish,70.71,100,100,100,90.24,100,100,100,81.36,100,100,100, yes
3f61,mayangna,14.76,47.08,12.26,0,28.52,53.9,36.93,0,20.66,50.01,22.83,0, no
3f88,lalana,7.95,41.83,8.5,0,15.23,33.79,14.18,0,12.8,36.47,12.28,0, no 
438d,turkish,,,,,86.41,87.44,80.76,45.45,86.41,87.44,80.76,45.45, yes
48b5,nahuatl,44.72,85.92,77.78,0,74.67,80.99,71.67,0,64.69,82.63,73.71,0, yes 
